HLE: ! path: /dev_hdd0/game/
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00826-[Nier]/PS3_GAME/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_hdd0/ -> ./dev_hdd0/
LDR: ! /dev_hdd1/ -> ./dev_hdd1/
LDR: ! /dev_flash/ -> ./dev_flash/
LDR: ! /dev_usb000/ -> ./dev_usb000/
LDR: ! /dev_usb/ -> ./dev_usb000/
LDR: ! /app_home/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00826-[Nier]/PS3_GAME/
LDR: ! /dev_bdvd/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00826-[Nier]/PS3_GAME//../
LDR: ! /host_root/ -> 
LDR: ! /app_home/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00826-[Nier]/PS3_GAME//USRDIR/
LDR: ! /dev_flash2/ -> ./dev_flash2/
LDR: ! /app_home/Game/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00826-[Nier]/PS3_GAME//USRDIR/
LDR: ! //dev_hdd0/ -> ./dev_hdd0/
LDR: ! / -> D:\Emulateurs\Rpcs3\dev_hdd0\game\BLES00826-[Nier]/PS3_GAME//USRDIR/
LDR: !  
MEM: ! Initing memory: m_base_addr = 0x1e3cd60000
MEM: ! Memory initialized.
LDR: ! Function 'cellSurMixerGetAANHandle' hooked (addr=0x89df20)
LDR: ! Function 'cellSurMixerSetNotifyCallback' hooked (addr=0x89df58)
LDR: ! Function 'cellSurMixerRemoveNotifyCallback' hooked (addr=0x89dfec)
LDR: ! Function 'cellSurMixerSurBusAddData' hooked (addr=0x89e07c)
LDR: ! Function 'cellSurMixerGetCurrentBlockTag' hooked (addr=0x89e12c)
LDR: ! Function 'cellSurMixerChStripGetAANPortNo' hooked (addr=0x89e988)
LDR: ! Function 'cellSurMixerBeep' hooked (addr=0x89e9c4)
LDR: ! Function 'cellSurMixerChStripSetParameter' hooked (addr=0x89eda0)
LDR: ! Function 'cellSurMixerPause' hooked (addr=0x89f054)
LDR: ! Function 'cellSurMixerGetTimestamp' hooked (addr=0x8a066c)
LDR: ! Function 'cellSurMixerSetParameter' hooked (addr=0x8a06d4)
LDR: ! Function 'cellSurMixerStart' hooked (addr=0x8a07a4)
LDR: ! Function 'cellSurMixerFinalize' hooked (addr=0x8a0aac)
LDR: ! Function 'cellSurMixerCreate' hooked (addr=0x8a1370)
LDR: S Function group [surmixer] successfully hooked
LDR: ! Imported function 'cellAudioInit' in 'cellAudio' module
LDR: ! Imported function 'cellAudioQuit' in 'cellAudio' module
LDR: ! Imported function 'cellAudioSetNotifyEventQueue' in 'cellAudio' module
LDR: ! Imported function 'cellAudioGetPortTimestamp' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortClose' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortStop' in 'cellAudio' module
LDR: ! Imported function 'cellAudioGetPortConfig' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortStart' in 'cellAudio' module
LDR: ! Imported function 'cellAudioPortOpen' in 'cellAudio' module
LDR: ! Imported function 'cellAudioGetPortBlockTag' in 'cellAudio' module
LDR: ! Imported function 'cellAudioRemoveNotifyEventQueue' in 'cellAudio' module
LDR: ! Imported function 'cellFsFtruncate' in 'sys_fs' module
LDR: ! Imported function 'cellFsClose' in 'sys_fs' module
LDR: ! Imported function 'cellFsOpendir' in 'sys_fs' module
LDR: ! Imported function 'cellFsRead' in 'sys_fs' module
LDR: ! Imported function 'cellFsReaddir' in 'sys_fs' module
LDR: ! Imported function 'cellFsOpen' in 'sys_fs' module
LDR: ! Imported function 'cellFsStat' in 'sys_fs' module
LDR: ! Imported function 'cellFsUnlink' in 'sys_fs' module
LDR: W Unimplemented function 'cellFsFsync' in 'sys_fs' module
LDR: ! Imported function 'cellFsLseek' in 'sys_fs' module
LDR: ! Imported function 'cellFsSdataOpen' in 'sys_fs' module
LDR: ! Imported function 'cellFsMkdir' in 'sys_fs' module
LDR: ! Imported function 'cellFsWrite' in 'sys_fs' module
LDR: ! Imported function 'cellFsFstat' in 'sys_fs' module
LDR: ! Imported function 'cellFsRename' in 'sys_fs' module
LDR: ! Imported function 'cellFsClosedir' in 'sys_fs' module
LDR: ! Imported function 'cellGcmGetTiledPitchSize' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmInitBody' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmAddressToOffset' in 'cellGcmSys' module
LDR: ! Imported function '_cellGcmFunc15' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetFlipMode' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDefaultCommandWordSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetFlipStatus' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmGetDefaultSegmentWordSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmSetDefaultFifoSize' in 'cellGcmSys' module
LDR: ! Imported function 'cellGcmMapMainMemory' in 'cellGcmSys' module
