HLE: ! path: /dev_hdd0/game/
LDR: ! Loading 'D:\Emulateurs\Rpcs3\dev_hdd0\game\NPEB00445/USRDIR/BOOT.BIN'...
LDR: !  
LDR: ! Mount info:
LDR: ! /dev_hdd0/ -> D:\Emulateurs\Rpcs3/dev_hdd0/
LDR: ! /dev_hdd1/ -> D:\Emulateurs\Rpcs3/dev_hdd1/
LDR: ! /dev_flash/ -> D:\Emulateurs\Rpcs3/dev_flash/
LDR: ! /dev_usb000/ -> D:\Emulateurs\Rpcs3/dev_usb000/
LDR: ! /dev_usb/ -> D:\Emulateurs\Rpcs3/dev_usb000/
LDR: ! /app_home/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\NPEB00445/
LDR: ! /dev_bdvd/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\NPEB00445//../
LDR: ! /host_root/ -> 
LDR: ! / -> D:\Emulateurs\Rpcs3\dev_hdd0\game\NPEB00445//USRDIR/
LDR: ! /app_home/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\NPEB00445//USRDIR/
LDR: ! /dev_flash2/ -> D:\Emulateurs\Rpcs3/dev_flash2/
LDR: ! /app_home/Game/PS3_GAME/USRDIR/ -> D:\Emulateurs\Rpcs3\dev_hdd0\game\NPEB00445//USRDIR/
LDR: !  
MEM: ! Initing memory...
MEM: ! Memory initialized.
LDR: ! Function 'cellAANConnect' hooked (addr=0x6d93f0)
LDR: ! Function 'cellAANDisconnect' hooked (addr=0x6d9488)
LDR: ! Function 'cellAANAddData' hooked (addr=0x6d9520)
LDR: ! Function 'cellSurMixerGetAANHandle' hooked (addr=0x6d966c)
LDR: ! Function 'cellSurMixerSetNotifyCallback' hooked (addr=0x6d96a4)
LDR: ! Function 'cellSurMixerRemoveNotifyCallback' hooked (addr=0x6d9738)
LDR: ! Function 'cellSurMixerSurBusAddData' hooked (addr=0x6d97c8)
LDR: ! Function 'cellSurMixerGetCurrentBlockTag' hooked (addr=0x6d9878)
LDR: ! Function 'cellSurMixerChStripGetAANPortNo' hooked (addr=0x6da0d4)
LDR: ! Function 'cellSurMixerBeep' hooked (addr=0x6da110)
LDR: ! Function 'cellSurMixerChStripSetParameter' hooked (addr=0x6da4ec)
LDR: ! Function 'cellSurMixerPause' hooked (addr=0x6da7a0)
LDR: ! Function 'cellSurMixerGetTimestamp' hooked (addr=0x6dbdb8)
LDR: ! Function 'cellSurMixerSetParameter' hooked (addr=0x6dbe20)
LDR: ! Function 'cellSurMixerStart' hooked (addr=0x6dbef0)
LDR: ! Function 'cellSurMixerFinalize' hooked (addr=0x6dc1f8)
LDR: ! Function 'cellSurMixerCreate' hooked (addr=0x6dcabc)
LDR: S Function group [surmxAAN] successfully hooked
LDR: S Function group [surmixer] successfully hooked
LDR: W Unimplemented function 'sceNpScorePollAsync' in 'sceNp' module
LDR: W Unimplemented function 'sceNpScoreDestroyTransactionCtx' in 'sceNp' module
LDR: W Unimplemented function 'sceNpScoreAbortTransaction' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerGetNpId' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicSendMessageGui' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicGetFriendListEntry' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerGetTicket' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerGetAccountAge' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicRegisterContextSensitiveHandler' in 'sceNp' module
LDR: W Unimplemented function 'Unknown func id: 0x4210c462' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerUnregisterCallback' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerGetTicketParam' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicRecvMessageAttachmentLoad' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerGetContentRatingFlag' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicRecvMessageCustom' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerRequestTicket2' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicUnregisterHandler' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicGetFriendListEntryCount' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerGetAccountRegion' in 'sceNp' module
LDR: W Unimplemented function 'sceNpUtilCmpNpId' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicGetEvent' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerRegisterCallback' in 'sceNp' module
LDR: W Unimplemented function 'sceNpManagerGetChatRestrictionFlag' in 'sceNp' module
LDR: W Unimplemented function 'sceNpBasicGetMessageEntryCount' in 'sceNp' module
LDR: W Unimplemented function 'cellSpursJobQueueAttributeSetDoBusyWaiting' in 'cellSpursJq' module
LDR: W Unimplemented function 'cellSpursJobQueueAttributeSetSubmitWithEntryLock' in 'cellSpursJq' module
LDR: W Unimplemented function 'cellSpursJobQueueAttributeSetMaxSizeJobDescriptor' in 'cellSpursJq' module
LDR: W Unimplemented function 'cellSpursJobQueueAttributeInitialize' in 'cellSpursJq' module
LDR: W Unimplemented function 'cellSpursJobQueueAttributeSetIsJobTypeMemoryCheck' in 'cellSpursJq' module
LDR: W Unimplemented function 'cellSpursJobQueueAttributeSetGrabParameters' in 'cellSpursJq' module
LDR: W Unimplemented function '_cellSpursCreateJobQueue' in 'cellSpursJq' module
LDR: W Unimplemented function 'cellSpursJobQueueAttributeSetIsHaltOnError' in 'cellSpursJq' module
LDR: W Unimplemented function 'cellFsSdataOpenByFd' in 'sys_fs' module
LDR: W Unimplemented function 'cellFsFsync' in 'sys_fs' module
LDR: W Unimplemented function 'cellOskDialogUnloadAsync' in 'cellSysutil' module
LDR: W Unimplemented function 'cellOskDialogLoadAsync' in 'cellSysutil' module
LDR: W Unimplemented function 'cellOskDialogSetKeyLayoutOption' in 'cellSysutil' module
LDR: W Unimplemented function 'cellOskDialogSetLayoutMode' in 'cellSysutil' module
LDR: W Unimplemented function 'cellSysutilSetBgmPlaybackExtraParam' in 'cellSysutil' module
LDR: W Unimplemented function 'cellSaveDataDelete2' in 'cellSysutil' module
LDR: W Unimplemented function 'sceNp2Init' in 'sceNp2' module
LDR: W Unimplemented function 'sceNp2Term' in 'sceNp2' module
LDR: W Unknown module 'cellSaveData'
LDR: W Unknown module 'cellScreenShotUtility'
LDR: W Unimplemented function 'socketpoll' in 'sys_net' module
LDR: W Unimplemented function 'getsockname' in 'sys_net' module
LDR: W Unimplemented function 'socketselect' in 'sys_net' module
LDR: W Unimplemented function 'getsockopt' in 'sys_net' module
LDR: W Unimplemented function 'gethostbyname' in 'sys_net' module
LDR: W Unimplemented function 'getpeername' in 'sys_net' module
LDR: W Unknown module 'cellBGDLUtility'
LDR: W Unknown module 'sceNpCommerce2'
LDR: W Unknown module 'cellHttp'
LDR: W Unimplemented function 'cellSslEnd' in 'cellSsl' module
LDR: W Unimplemented function 'cellSslCertificateLoader' in 'cellSsl' module
LDR: W Unimplemented function 'cellSslInit' in 'cellSsl' module
LDR: W Unknown module 'cellSysutilAvconfExt'
LDR: W Unimplemented function 'cellCameraStop' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraClose' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraRead' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraStart' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraGetType' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraEnd' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraOpenEx' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraIsStarted' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraGetBufferSize' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraIsAttached' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraReset' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraIsAvailable' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraSetNotifyEventQueue2' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraInit' in 'cellCamera' module
LDR: W Unimplemented function 'cellCameraIsOpen' in 'cellCamera' module
LDR: W Unknown module 'cellMusicUtility'
LDR: W Unknown module 'cellSearchUtility'
LDR: W Unimplemented function 'cellCelpEncClose' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellCelpEncGetAu' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellCelpEncStart' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellCelpEncQueryAttr' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellCelpEncOpen' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellCelpEncEncodeFrame' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellCelpEncWaitForOutput' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellCelpEncEnd' in 'cellCelpEnc' module
LDR: W Unimplemented function 'cellSailGraphicsAdapterGetFrame' in 'cellSail' module
LDR: W Unimplemented function 'cellSailDescriptorCreateDatabase' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerSetSoundAdapter' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerFinalize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerSetGraphicsAdapter' in 'cellSail' module
LDR: W Unimplemented function 'cellSailGraphicsAdapterInitialize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerInitialize2' in 'cellSail' module
LDR: W Unimplemented function 'cellSailDescriptorDestroyDatabase' in 'cellSail' module
LDR: W Unimplemented function 'cellSailGraphicsAdapterSetPreferredFormat' in 'cellSail' module
LDR: W Unimplemented function 'cellSailMemAllocatorInitialize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerOpenStream' in 'cellSail' module
LDR: W Unimplemented function 'cellSailFutureGet' in 'cellSail' module
LDR: W Unimplemented function 'cellSailSoundAdapterInitialize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailGraphicsAdapterUpdateAvSync' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerReplaceEventHandler' in 'cellSail' module
LDR: W Unimplemented function 'cellSailSoundAdapterPtsToTimePosition' in 'cellSail' module
LDR: W Unimplemented function 'cellSailFutureInitialize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerSetParameter' in 'cellSail' module
LDR: W Unimplemented function 'cellSailGraphicsAdapterFinalize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerAddDescriptor' in 'cellSail' module
LDR: W Unimplemented function 'cellSailSoundAdapterGetFrame' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerCloseStream' in 'cellSail' module
LDR: W Unimplemented function 'cellSailFutureFinalize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailFutureSet' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerBoot' in 'cellSail' module
LDR: W Unimplemented function 'cellSailSoundAdapterFinalize' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerSetPaused' in 'cellSail' module
LDR: W Unimplemented function 'cellSailDescriptorGetStreamType' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerCreateDescriptor' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerStart' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerStop' in 'cellSail' module
LDR: W Unimplemented function 'cellSailSoundAdapterUpdateAvSync' in 'cellSail' module
LDR: W Unimplemented function 'cellSailSoundAdapterGetFormat' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerSetRepeatMode' in 'cellSail' module
LDR: W Unimplemented function 'cellSailPlayerDestroyDescriptor' in 'cellSail' module
LDR: W Unimplemented function 'cellSailGraphicsAdapterGetFormat' in 'cellSail' module
LDR: W Unimplemented function 'cellMicOpenEx' in 'cellMic' module
LDR: W Unimplemented function 'cellMicRead' in 'cellMic' module
LDR: W Unimplemented function 'cellMicIsAttached' in 'cellMic' module
LDR: W Unimplemented function 'cellMicSetSignalAttr' in 'cellMic' module
LDR: W Unimplemented function 'cellMicSetNotifyEventQueue' in 'cellMic' module
LDR: W Unimplemented function 'cellMicInit' in 'cellMic' module
LDR: W Unimplemented function 'cellMicClose' in 'cellMic' module
LDR: W Unimplemented function 'cellMicGetSignalState' in 'cellMic' module
LDR: W Unimplemented function 'cellMicEnd' in 'cellMic' module
LDR: W Unimplemented function 'cellMicOpen' in 'cellMic' module
LDR: W Unimplemented function 'cellMicStart' in 'cellMic' module
LDR: W Unimplemented function 'cellMicStop' in 'cellMic' module
LDR: W Unimplemented function '_sys_heap_free' in 'sysPrxForUser' module
LDR: W Unimplemented function 'sys_prx_load_module_on_memcontainer_by_fd' in 'sysPrxForUser' module
LDR: W Unimplemented function '_sys_heap_delete_heap' in 'sysPrxForUser' module
LDR: W Unimplemented function 'sys_prx_load_module_by_fd' in 'sysPrxForUser' module
HLE: W PPU[1] Thread (CPUThread)[0x000111a8]memory warning: sys_memory_get_user_memory_size(mem_info_addr=0xd0010cc0)
HLE: W PPU[1] Thread (CPUThread)[0x00eab058]sys_lwmutex warning: *** lwmutex created [_lc_mtx] (attribute=0x12): sq_id = 3
